,DateTime,Most recent forecast [MW],Day-Ahead forecast [MW],Week-Ahead forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp],Day-Ahead forecast (11h00) [MW],predictions,RMSE_predictions,RMSE_elia
0,2021-01-10 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,0.0,14295.481527454524,1576.2004608557265
1,2021-01-11 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-456.6545233353879,14295.481527454524,1576.2004608557265
2,2021-01-11 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-289.56604935073295,14295.481527454524,1576.2004608557265
3,2021-01-11 08:00:00,2599.66,2632.94,5503.21,1685.05,1685.05,76600.96,3020.87,7573.485743958801,14295.481527454524,1576.2004608557265
4,2021-01-11 12:00:00,4380.9400000000005,4668.59,10563.97,3877.62,3877.62,76600.96,5205.99,7251.446571003199,14295.481527454524,1576.2004608557265
5,2021-01-11 16:00:00,126.58,143.06,354.47,90.72,90.72,76600.96,157.92,485.9105947112851,14295.481527454524,1576.2004608557265
6,2021-01-11 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-527.0877009649668,14295.481527454524,1576.2004608557265
7,2021-01-12 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-496.9387224354502,14295.481527454524,1576.2004608557265
8,2021-01-12 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-390.71068217677066,14295.481527454524,1576.2004608557265
9,2021-01-12 08:00:00,1588.55,1621.9299999999998,1905.0900000000001,2026.67,2026.67,76600.96,1629.8600000000001,5248.499245419652,14295.481527454524,1576.2004608557265
10,2021-01-12 12:00:00,6284.29,4879.83,3772.1,8008.99,8008.99,76600.96,4824.21,4828.930612720885,14295.481527454524,1576.2004608557265
11,2021-01-12 16:00:00,280.37,229.4,132.48,301.5,301.5,76600.96,201.38,-24.62971716039814,14295.481527454524,1576.2004608557265
12,2021-01-12 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-479.5492553518433,14295.481527454524,1576.2004608557265
13,2021-01-13 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-460.9922726720106,14295.481527454524,1576.2004608557265
14,2021-01-13 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-300.62225179794245,14295.481527454524,1576.2004608557265
15,2021-01-13 08:00:00,6700.3099999999995,6020.61,5544.82,5097.51,5097.51,76600.96,5340.7,4724.453354753517,14295.481527454524,1576.2004608557265
16,2021-01-13 12:00:00,10179.07,10756.11,10502.369999999999,9754.58,9754.58,76600.96,10318.58,4143.405790545679,14295.481527454524,1576.2004608557265
17,2021-01-13 16:00:00,191.8,280.69,410.92,95.83,95.83,76600.96,263.74,174.49217951893806,14295.481527454524,1576.2004608557265
18,2021-01-13 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-417.4972419813182,14295.481527454524,1576.2004608557265
19,2021-01-14 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-454.527065022355,14295.481527454524,1576.2004608557265
20,2021-01-14 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-395.316573766144,14295.481527454524,1576.2004608557265
21,2021-01-14 08:00:00,1253.46,1775.98,1355.19,1798.2,1798.2,76600.96,1301.79,188.24560164102354,14295.481527454524,1576.2004608557265
22,2021-01-14 12:00:00,2520.69,3699.0699999999997,2707.7,3240.2400000000002,3240.2400000000002,76600.96,2973.26,1380.7469647218659,14295.481527454524,1576.2004608557265
23,2021-01-14 16:00:00,96.99,126.98,101.08,88.44,88.44,76600.96,109.79,16.98979107012041,14295.481527454524,1576.2004608557265
24,2021-01-14 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-415.73581912442114,14295.481527454524,1576.2004608557265
25,2021-01-15 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-438.03631647818725,14295.481527454524,1576.2004608557265
26,2021-01-15 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-383.06600875723177,14295.481527454524,1576.2004608557265
27,2021-01-15 08:00:00,3622.44,4034.08,6103.56,1443.75,1443.75,76600.96,4077.01,390.71387434644623,14295.481527454524,1576.2004608557265
28,2021-01-15 12:00:00,7009.34,9028.84,11777.9,3504.0099999999998,3504.0099999999998,76600.96,8854.43,1617.2805170457439,14295.481527454524,1576.2004608557265
29,2021-01-15 16:00:00,242.06,337.12,459.92,88.89,88.89,76600.96,327.93,-22.311710872882976,14295.481527454524,1576.2004608557265
30,2021-01-15 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-390.4099634232279,14295.481527454524,1576.2004608557265
31,2021-01-16 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-439.73929807486945,14295.481527454524,1576.2004608557265
32,2021-01-16 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-382.60600892192684,14295.481527454524,1576.2004608557265
33,2021-01-16 08:00:00,2761.4900000000002,3223.02,7626.52,2183.62,2183.62,76600.96,3042.73,3691.3559310420974,14295.481527454524,1576.2004608557265
34,2021-01-16 12:00:00,2961.64,4053.46,14397.560000000001,2492.47,2492.47,76600.96,3853.48,5503.86168779932,14295.481527454524,1576.2004608557265
35,2021-01-16 16:00:00,56.96,94.74,664.21,20.96,20.96,76600.96,90.78999999999999,597.9219051413564,14295.481527454524,1576.2004608557265
36,2021-01-16 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-461.8662723590899,14295.481527454524,1576.2004608557265
37,2021-01-17 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-516.1883240843844,14295.481527454524,1576.2004608557265
38,2021-01-17 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-422.4762081702147,14295.481527454524,1576.2004608557265
39,2021-01-17 08:00:00,2013.33,2449.0,4465.0,3180.0699999999997,3180.0699999999997,76600.96,2520.64,320.94589576696046,14295.481527454524,1576.2004608557265
40,2021-01-17 12:00:00,7541.08,7576.37,8412.74,7633.57,7633.57,76600.96,8032.37,940.8298055007123,14295.481527454524,1576.2004608557265
41,2021-01-17 16:00:00,339.46999999999997,366.29,409.08,194.15,194.15,76600.96,356.19,-53.07456818616949,14295.481527454524,1576.2004608557265
42,2021-01-17 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-533.8906237962004,14295.481527454524,1576.2004608557265
43,2021-01-18 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-571.9938343532849,14295.481527454524,1576.2004608557265
44,2021-01-18 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-400.30241539741866,14295.481527454524,1576.2004608557265
45,2021-01-18 08:00:00,5133.65,4670.16,6464.5,4937.21,4937.21,76600.96,4772.71,793.1708405738883,14295.481527454524,1576.2004608557265
46,2021-01-18 12:00:00,9508.87,9554.08,12340.38,8412.87,8412.87,76600.96,9184.08,2671.5268015125766,14295.481527454524,1576.2004608557265
47,2021-01-18 16:00:00,240.42,334.84999999999997,614.99,224.74,224.74,76600.96,293.77,467.7410923197679,14295.481527454524,1576.2004608557265
48,2021-01-18 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-503.1223643496167,14295.481527454524,1576.2004608557265
49,2021-01-19 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-524.1366628756281,14295.481527454524,1576.2004608557265
50,2021-01-19 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-320.5805151148606,14295.481527454524,1576.2004608557265
51,2021-01-19 08:00:00,605.82,598.79,2106.63,1008.86,1008.86,76600.96,721.59,1559.7144024249912,14295.481527454524,1576.2004608557265
52,2021-01-19 12:00:00,2176.82,2134.7,4038.93,2830.61,2830.61,76600.96,2102.84,2441.3951045478693,14295.481527454524,1576.2004608557265
53,2021-01-19 16:00:00,141.89,122.86,207.22,70.63,70.63,76600.96,127.33000000000001,291.66436888416297,14295.481527454524,1576.2004608557265
54,2021-01-19 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-466.7245909043495,14295.481527454524,1576.2004608557265
55,2021-01-20 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-511.7598843887728,14295.481527454524,1576.2004608557265
56,2021-01-20 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-370.1426326013077,14295.481527454524,1576.2004608557265
57,2021-01-20 08:00:00,2766.85,2965.93,2464.96,4467.21,4467.21,76600.96,3252.95,1840.6461239062437,14295.481527454524,1576.2004608557265
58,2021-01-20 12:00:00,8032.88,7374.74,4745.27,8993.31,8993.31,76600.96,7280.03,5146.1095027191195,14295.481527454524,1576.2004608557265
59,2021-01-20 16:00:00,369.7,455.18,248.66,503.71000000000004,503.71000000000004,76600.96,463.07,850.8373857636657,14295.481527454524,1576.2004608557265
60,2021-01-20 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-466.5060500573274,14295.481527454524,1576.2004608557265
61,2021-01-21 00:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-473.06227546799,14295.481527454524,1576.2004608557265
62,2021-01-21 04:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-342.2632048606407,14295.481527454524,1576.2004608557265
63,2021-01-21 08:00:00,5736.0,5512.5,7321.2300000000005,5696.66,5696.66,76600.96,6664.38,4586.358130174801,14295.481527454524,1576.2004608557265
64,2021-01-21 12:00:00,10610.15,11330.37,13996.58,9396.64,9396.64,76600.96,12532.97,8053.991422455758,14295.481527454524,1576.2004608557265
65,2021-01-21 16:00:00,415.12,522.84,766.96,161.02,161.02,76600.96,509.25,559.313431419977,14295.481527454524,1576.2004608557265
66,2021-01-21 20:00:00,0.0,0.0,0.0,0.0,0.0,76600.96,0.0,-551.7140622546804,14295.481527454524,1576.2004608557265
